,year,country,sector,gas,length_ratio,length
0,2020,Czechia,Gas elec. prod.,-61.723073151456546,1.0,-0.4351714272192199
1,2020,Czechia,Other sectors,30.39073039167271,-0.3299259092850644,0.14357432882018034
2,2020,Lithuania,Petroleum elec. prod.,-21.558458746802803,0.8749390665529488,-0.21678271395016427
3,2020,Lithuania,Gas elec. prod.,-3.0814957036688,0.1250609334470511,-0.030986213324093157
4,2020,Lithuania,Other sectors,6.800591686725067,-0.21630004952997384,0.053592431241410374
5,2020,Great-Britain,Fertilizers,-24.036058093342415,1.0,-0.24634982104376968
6,2020,Great-Britain,Other sectors,6.2988709781909975,-0.20764416370770156,0.051153102570175496
7,2020,Taiwan,Biomass and waste elec. prod.,-6.761459119116409,0.7424635316558273,-0.09390915443217235
8,2020,Taiwan,Other sectors,-2.3453304144208653,0.2575364683441727,-0.032574033533623134
9,2020,Turkey,Wood and paper reproc.,-9.945362303256088,1.0,-0.11039428160360654
10,2020,Turkey,Other sectors,1.9969740277964174,-0.16721803610604058,0.01845991496709229
11,2020,Sweden,Other sources elec. prod.,-11.833017225977404,0.8464443763715438,-0.06956547412464471
12,2020,Sweden,Chemicals,-2.146657701632182,0.1535556236284561,-0.012620049303192656
13,2020,Sweden,Other sectors,8.062317240805296,-0.36577080597815514,0.030061065143936628
14,2020,India,Non-ferrous metals,-3.4732463945808867,0.6082010839465017,-0.048239533258067874
15,2020,India,Textile,-1.0850409417854756,0.19000180290977933,-0.015070013080353828
16,2020,India,Gaseous fuels distribution,-0.5853995236132281,0.10250946358393734,-0.008130548939072613
17,2020,India,Other sectors,-0.567000750183233,0.09928764955978159,-0.00787501041921157
18,2020,France,Copper reproc.,-6.6586123611005945,1.0,-0.06436669411164382
19,2020,France,Other sectors,2.024210385062239,-0.23312814786606018,0.015005688182508766
20,2020,Netherlands,Chemicals,-6.2631940642301505,0.5165688364662012,-0.02929493704468437
21,2020,Netherlands,Fertilizers,-4.265989279139661,0.3518455752294068,-0.019953379391423335
22,2020,Netherlands,Textile,-1.5954235281481655,0.13158558830439188,-0.007462299800613568
23,2020,Netherlands,Other sectors,8.041442502474045,-0.39876142090800515,0.022614005911123565
24,2020,Croatia,Chemicals,-2.2428148700394783,0.47852246460005826,-0.02662768871599463
25,2020,Croatia,Processing Nuclear Fuel,-0.955201394467653,0.20379984615583902,-0.011340572836723234
26,2020,Croatia,Petroleum Refinery,-0.8667944303556219,0.1849375143067759,-0.010290966312284669
27,2020,Croatia,Fertilizers,-0.6221476737772402,0.1327401749373267,-0.007386411965615746
28,2020,Croatia,Other sectors,0.6804723008354774,-0.12677803268243726,0.007054644745081258
0,2020,Poland,Crude Petroleum,3.8443760075550064,1.0,0.05178042881901523
1,2020,Poland,Other sectors,-0.11618513258591001,-0.029335523042014255,-0.0015190059627456002
2,2020,Mexico,"Coal, lignite and peat",6.808408054885917,0.8722475849526775,0.07412829952826638
3,2020,Mexico,Gaseous fuels distribution,0.9971831239710554,0.12775241504732252,0.010857088573769009
4,2020,Mexico,Other sectors,-1.6866432355104246,-0.1776866396132748,-0.015100768028080655
5,2020,Luxembourg,Wood and paper prod.,2.2965616815386447,0.3553302566365014,0.031896690021370064
6,2020,Luxembourg,Textile,1.9413958695076516,0.30037803821712405,0.026963831520939608
7,2020,Luxembourg,Wood and paper reproc.,1.153994110036269,0.17854910084604167,0.016027695972725957
8,2020,Luxembourg,Other sectors,1.071223479918725,0.16574260430033289,0.01487810388776007
9,2020,Ireland,Chemicals,7.2704724290360225,0.23946509804077218,0.026083915965267584
10,2020,Ireland,Crude Petroleum,7.066967911124267,0.2327623383770594,0.025353812826087355
11,2020,Ireland,"Coal, lignite and peat",6.706544787684686,0.22089120353224106,0.024060740531886553
12,2020,Ireland,Processing Nuclear Fuel,5.1021938780857035,0.16804923877564534,0.018304889765208245
13,2020,Ireland,Non-ferrous metals prod.,4.215124117241473,0.138832121274282,0.01512239325992148
14,2020,Ireland,Other sectors,-22.518648954089425,-0.4258447307438552,-0.046385457679863996
15,2020,RoW Europe,Iron,10.527575539687396,0.9814385822841627,0.1462163269401027
16,2020,RoW Europe,Other sectors,0.19910234899507095,0.018561417715837296,0.0027653104027093186
17,2020,RoW Middle East,Crude Petroleum,10.831240806282016,0.45950714197499876,0.11157068639835652
18,2020,RoW Middle East,Precious metals,7.334111649438327,0.31114410096065237,0.0755473805342253
