year,region,country,modularity,in-conductance,out-conductance
1995,Europe,Austria,0.014511405377550328,0.37899371813332566,0.23176828870402302
1995,Europe,Belgium,0.016131733783333085,0.5926751940252539,0.39100946164207695
1995,Europe,Bulgaria,0.0018656856820641512,0.23438394847951083,0.1152566845884102
1995,Middle East,Cyprus,0.0006406349999706169,0.5663109859863781,0.38749229266532936
1995,Europe,Czech Republic,0.006401569353132131,0.3410216977606835,0.22040342700495485
1995,Europe,Germany,0.10709772482151175,0.34480690338580455,0.1945880565474012
1995,Europe,Denmark,0.00929916485809089,0.4764258310499975,0.3088776483908873
1995,Europe,Estonia,0.0007314863535807135,0.3851149317372074,0.2592614227043454
1995,Europe,Spain,0.032048837498835775,0.2856650614838839,0.17059629630656778
1995,Europe,Finland,0.009976798638303228,0.3834726917382839,0.21718345448794757
1995,Europe,France,0.06489702341441012,0.43073943594669895,0.2824505732233668
1995,Europe,Greece,0.008150600089061235,0.2188098050028355,0.15288389737898714
1995,Europe,Croatia,0.0016782095398635488,0.3418052655556454,0.24759773980742483
1995,Europe,Hungary,0.004319974965695798,0.3355699162168146,0.2135214188134146
1995,Europe,Ireland,0.005983797466125209,0.470028411244595,0.28770172125877264
1995,Europe,Italy,0.06268596288638817,0.34240363098292265,0.2062311090840078
1995,Europe,Lithuania,0.0008521758039609119,0.23932567143910166,0.14578189201749545
1995,Europe,Luxembourg,0.0005118654824894163,0.8706909447234188,0.705212890134031
1995,Europe,Latvia,0.00045085807292388877,0.3611107918701329,0.2316793357803524
1995,Europe,Malta,0.00037300269003323616,0.6482837198041429,0.463434249085836
1995,Europe,Netherlands,0.02536485938552919,0.5381341684995458,0.3716019354681617
1995,Europe,Poland,0.013459020814175864,0.18277330043013787,0.08914828532798638
1995,Europe,Portugal,0.009917472588685746,0.29622529275927745,0.19562030008348155
1995,Europe,Romania,0.0039397627596540075,0.22887899642122095,0.15616246668217337
1995,Europe,Sweden,0.013930751561657764,0.3729160308834043,0.19214338826686067
1995,Europe,Slovenia,0.001767652767510666,0.45991750859155744,0.32132936001529827
1995,Europe,Slovakia,0.0023318968024552906,0.20941406730724038,0.12624353063476493
1995,Europe,United Kingdom,0.05994342876349927,0.38775533948625984,0.2146736117176255
1995,America,United States,0.3087473723802866,0.17822393171449072,0.10960648393010944
1995,Asia and Pacific,Japan,0.2540436575677051,0.13372684565102816,0.06451798067930913
1995,Asia and Pacific,China,0.07274376339000611,0.17540519192814363,0.1042796715927357
1995,America,Canada,0.025569201916525577,0.5020446833412879,0.2975360010293846
1995,Asia and Pacific,South Korea,0.038053589348604346,0.34067643615023974,0.21571257813679987
1995,America,Brazil,0.030014120418008203,0.18146859987082906,0.10553932948480253
1995,Asia and Pacific,India,0.02646521426881191,0.13397346285717396,0.07667026491476342
1995,America,Mexico,0.020849889627371457,0.3323254993520618,0.1818484103977198
