,year,country,sector,coal,length_ratio,length
0,1998,RoW America,Gaseous fuels distribution,-80.4114226575101,0.8631239739963437,0.5102599963808359
1,1998,RoW America,Glass prod.,-12.751813540411487,0.13687602600365625,0.08091810983985563
2,1998,RoW America,Other sectors,135.7280598458114,-0.592980433034372,-0.35055704942718563
3,1998,Bulgaria,Coke oven products,-52.303186313302284,0.17191484527244502,-0.7264331432403095
4,1998,Bulgaria,"Iron, steel and ferro-alloys",-49.90249682588916,0.1640240418459844,-0.6930902336929049
5,1998,Bulgaria,Steel reproc.,-40.121333525848286,0.13187442929200927,-0.5572407434145595
6,1998,Bulgaria,Other non-metallic products,-38.617503792203834,0.12693150565391656,-0.5363542193361643
7,1998,Bulgaria,Precious metals prod.,-20.76841508233296,0.06826350586073422,-0.2884502094768467
8,1998,Bulgaria,Construction products,-19.696158348142603,0.06473911540684346,-0.2735577548353139
9,1998,Bulgaria,Other sectors,-82.82982294586733,0.272252556668067,-1.1504142075814907
10,1998,Romania,Coal elec. prod.,-53.30624454502434,0.24688746514729695,-0.7403645075697826
11,1998,Romania,Precious metals prod.,-35.91712830897891,0.1663499058929996,-0.49884900429137374
12,1998,Romania,Iron,-23.349325663938792,0.1081422237726678,-0.3242961897769277
13,1998,Romania,"Iron, steel and ferro-alloys",-15.477950482426728,0.07168600963915403,-0.214971534478149
14,1998,Romania,Wind elec. prod.,-14.77776668234829,0.0684431137080299,-0.2052467594770596
15,1998,Romania,Other sectors,-73.08471102552221,0.33849128183985155,-1.0150654309100307
16,1998,Ireland,Precious metals prod.,-43.85515251660026,0.5272494796988879,-0.609099340508337
17,1998,Ireland,Coal elec. prod.,-10.648409079119858,0.12802071876187598,-0.14789457054333138
18,1998,Ireland,Other sectors,-28.67367082496606,0.34472980153923605,-0.3982454281245286
19,1998,Latvia,Coal elec. prod.,-27.090672998826413,0.6278538516352473,-0.2986624365959562
20,1998,Latvia,Coke oven products,-16.057382760119193,0.37214614836475274,-0.1770253939685756
21,1998,Latvia,Other sectors,8.898531958299316,-0.17097243736020973,0.08132950781420847
22,1998,Estonia,Non-ferrous metals,-46.13915785496388,0.30230776906262946,-0.6408216368744983
23,1998,Estonia,Coal elec. prod.,-33.733713423062554,0.22102621983654108,-0.4685237975425355
24,1998,Estonia,Iron,-26.808044188374367,0.17564863357487454,-0.3723339470607551
25,1998,Estonia,Aluminium,-17.13945799906087,0.11229921722728822,-0.2380480277647343
26,1998,Estonia,Nickel,-15.88774254172549,0.10409786884989133,-0.2206630908572985
27,1998,Estonia,Other sectors,-12.91501371927771,0.08462029144877538,-0.17937519054552375
28,1998,Croatia,Other sectors,109.15459163808048,-1.0,-1.51603599497334
29,1998,Finland,Wind elec. prod.,-2.6347328490325284,1.0,0.9558108025912012
30,1998,Finland,Other sectors,71.45311063559902,-0.9644377171056535,-0.9218199884359806
31,1998,Slovakia,Biomass and waste elec. prod.,-20.04245583173894,0.7108637303348595,-0.2524611140221985
32,1998,Slovakia,Coke oven products,-8.152055966320782,0.28913626966514056,-0.10268587582812651
33,1998,Slovakia,Other sectors,2.6239285288363234,-0.08514150946653698,0.030237750798353558
34,1998,Slovenia,Coal elec. prod.,-19.48486651213686,1.0,0.017328699978126732
35,1998,Slovenia,Other sectors,20.732532910561986,-0.5155115250654538,-0.008933144553125808
0,1998,Norway,Coal elec. prod.,60.72239620248034,1.0,0.6301926547626976
1,1998,Norway,Other sectors,-15.348525059566114,-0.20176599421865882,-0.1271514475374917
2,1998,China,Other sectors,-36.90169511035821,-0.999972900973871,0.5125096543105307
3,1998,Switzerland,Petroleum elec. prod.,7.420932112135815,0.4584651616189661,-0.15042593643440264
4,1998,Switzerland,"Iron, steel and ferro-alloys",4.748355939310379,0.29335341440197626,-0.096251505592745
5,1998,Switzerland,Coke oven products,4.017180918039886,0.2481814239790577,-0.08143022901858121
6,1998,Switzerland,Other sectors,-39.81022128477855,-0.7109388269915946,0.23326448278019443
7,1998,France,Coke oven products,5.043467983913552,0.23192002528962577,0.07004816644324377
8,1998,France,Chemical and fertilizer minerals,4.502241379012006,0.20703213301063392,0.06253113026405564
9,1998,France,"Iron, steel and ferro-alloys",4.462194890347737,0.2051906257990483,0.061974929032607456
10,1998,France,Other sectors,7.738678335337504,0.355857215900692,0.1074816435463542
11,1998,Denmark,Coke oven products,7.106530290615208,0.5074306099254563,0.04525684021457957
12,1998,Denmark,Coal elec. prod.,6.8983999434106575,0.49256939007454376,0.043931394254026875
13,1998,Denmark,Other sectors,-7.583377352286202,-0.35127243402323927,-0.03132936820802275
14,1998,Belgium,Coal elec. prod.,10.890290419921556,0.4776984695476414,-0.004735838195074616
15,1998,Belgium,Non-ferrous metals,9.503619724754664,0.41687268407216466,-0.004132819562059195
16,1998,Belgium,Non-ferrous metals prod.,2.4035052002675528,0.10542884638019392,-0.0010452073627591587
17,1998,Belgium,Other sectors,-23.511213633576066,-0.5077069684892138,0.005033338406031816
18,1998,Indonesia,Biomass and waste elec. prod.,6.165419656378046,0.5576464462616059,-0.0032561428351322672
19,1998,Indonesia,"Iron, steel and ferro-alloys",2.6634650120818115,0.24090360129712388,-0.001406655669698648
20,1998,Indonesia,Other sources elec. prod.,2.2272597716424203,0.20144995244127045,-0.0011762826136108044
21,1998,Indonesia,Other sectors,-11.47655828063008,-0.5093289705575572,0.0029740131750579904
22,1998,Turkey,Other petroleum,8.999360550324822,0.3349689177947748,0.12499111875451141
23,1998,Turkey,Ash reproc. into clinker,7.265240728517486,0.27042252732747596,0.10090612122940952
24,1998,Turkey,Aluminium,4.843520631620302,0.18028268288816995,0.0672711198836153
25,1998,Turkey,"Iron, steel and ferro-alloys",4.365707912808237,0.16249781823761658,0.06063483212233662
26,1998,Turkey,Other sectors,1.3924257373076294,0.051828053751962755,0.01933924635149485
27,1998,Hungary,Processing Nuclear Fuel,33.51874901552132,0.6351324470665837,0.46553818077112946
28,1998,Hungary,Petroleum elec. prod.,12.793982003746729,0.24242769603372416,0.17769419449648235
29,1998,Hungary,Other sectors,6.461692914402285,0.12243985689969215,0.08974573492225396
30,1998,Russia,Coal elec. prod.,30.152108232782115,0.2593830934962211,0.4187792810108627
31,1998,Russia,Gaseous fuels distribution,7.357739200801827,0.06329484957763094,0.10219082223335872
32,1998,Russia,Coke oven products,7.015318619915732,0.06034918127273797,0.09743498083216294
33,1998,Russia,Construction products,6.9784328858662805,0.060031872256407784,0.09692267897036501
34,1998,Russia,Uranium and thorium,6.859774338097191,0.0590111137425254,0.09527464358468321
35,1998,Russia,Other sectors,57.88209139936783,0.4979298896544768,0.803917936102331
0,1999,Bulgaria,Coke oven products,-54.21508601453804,0.4046585636470881,-0.7529873057574727
1,1999,Bulgaria,Precious metals prod.,-19.81879176049486,0.14792642411140017,-0.2752609966735397
2,1999,Bulgaria,Other non-metallic products,-13.824973842724077,0.10318888097226527,-0.19201352559338997
3,1999,Bulgaria,Coal elec. prod.,-11.122508237538575,0.08301781917948721,-0.15447928107692466
4,1999,Bulgaria,Other sectors,-34.996000035252194,0.2612083120897593,-0.48605555604516937
5,1999,Romania,Precious metals prod.,-42.945722440403735,0.36493995932196893,-0.5964683672278297
6,1999,Romania,Iron,-26.64612451220556,0.2264308304294298,-0.3700850626695217
7,1999,Romania,Wind elec. prod.,-15.206429876109404,0.1292197123501823,-0.21120041494596395
8,1999,Romania,Other sectors,-32.88059429351648,0.2794094978984189,-0.4566749207432845
9,1999,RoW Middle East,Processing Nuclear Fuel,-38.61312896733982,0.3878877203278196,-0.5362934578797197
10,1999,RoW Middle East,Gas elec. prod.,-37.93179427441288,0.3810433809052563,-0.5268304760335122
11,1999,RoW Middle East,Copper,-12.4823148894905,0.12539094334970263,-0.17336548457625692
12,1999,RoW Middle East,Other sectors,-10.51994251862709,0.10567795541722154,-0.1461103127587096
13,1999,Spain,Coal elec. prod.,-21.618853326206146,0.2746426570143775,-0.30026185175286313
14,1999,Spain,Copper prod.,-9.039377175593266,0.11483488637441627,-0.12554690521657313
15,1999,Spain,"Iron, steel and ferro-alloys",-8.743954205072008,0.11108187744546041,-0.12144380840377787
16,1999,Spain,Fertilizers,-4.161562188058832,0.05286785933616476,-0.05779947483415044
17,1999,Spain,Coke oven products,-4.119596410554948,0.05233473241849565,-0.05721661681326316
18,1999,Spain,Other sectors,-31.032955033685035,0.39423798741108534,-0.4310132643567366
19,1999,Finland,Gas elec. prod.,-22.059032730439167,0.3508619010483237,-0.3063754545894329
20,1999,Finland,Coal elec. prod.,-10.76062651456444,0.1711540991623485,-0.1494531460356172
21,1999,Finland,Biomass and waste elec. prod.,-9.097609590369668,0.14470283601637388,-0.12635568875513425
22,1999,Finland,Gaseous fuels distribution,-7.1194989975488685,0.11323982258499961,-0.09888193052151206
23,1999,Finland,Other sectors,-13.83421549279668,0.22004134118795426,-0.19214188184439832
24,1999,Canada,Coke oven products,-18.38544793907755,0.30740455493112945,-0.2553534435982993
25,1999,Canada,Coal elec. prod.,-6.249918699542121,0.10449859489715993,-0.08680442638252946
26,1999,Canada,Electricity distribution,-5.309598122196423,0.08877644172855784,-0.0737444183638392
27,1999,Canada,Other sectors,-29.863673869137212,0.4993204084431528,-0.41477324818246125
28,1999,Ireland,Precious metals prod.,-42.549919270654215,0.7468121304487466,-0.5909711009813086
29,1999,Ireland,Other sectors,-14.42547994398722,0.2531878695512534,-0.2003538881109336
30,1999,Estonia,Coal elec. prod.,-29.915304232933405,0.5081545845818334,-0.35698341085353646
31,1999,Estonia,Non-ferrous metals,-20.87638113851473,0.3546154403917203,-0.24912070714965454
32,1999,Estonia,Nickel,-8.078794479778772,0.13722997502644618,-0.09640535782354476
33,1999,Estonia,Other sectors,8.289797591701934,-0.12343304565330904,0.08671288420160368
34,1999,Austria,Coke oven products,-33.92326727352886,0.6827199238179457,-0.47115648991012304
35,1999,Austria,Coal elec. prod.,-12.36606555619937,0.2488722346931508,-0.17175091050276903
36,1999,Austria,Other sectors,-3.3990768534420113,0.06840784148890358,-0.047209400742250156
37,1999,Brazil,Gaseous fuels distribution,-38.26961987019017,0.7832701460624402,-0.5315224981970857
38,1999,Brazil,Coal elec. prod.,-9.243088944824905,0.189179711019825,-0.12837623534479037
39,1999,Brazil,Other sectors,-1.3460662354250843,0.027550142917734853,-0.01869536438090395
0,1999,France,Coke oven products,12.595795530814446,1.0,0.13888978903883495
1,1999,France,Other sectors,-2.595730720018329,-0.17086701343625932,-0.023731683449857835
2,1999,Great-Britain,Coke oven products,12.350650434106369,0.425695744165895,0.15311148772305985
