,year,country,sector,gas,length_ratio,length
0,1997,Ireland,Gaseous fuels distribution,-70.05891039832419,0.21886120445248342,-0.9730404221989472
1,1997,Ireland,Non-ferrous metals,-36.87543007072617,0.11519735311463684,-0.5121587509823079
2,1997,Ireland,Non-ferrous metals prod.,-28.66065778322062,0.08953473651206188,-0.3980646914336198
3,1997,Ireland,Crude Petroleum,-25.942969660891162,0.08104478866106789,-0.36031902306793284
4,1997,Ireland,Other sources elec. prod.,-22.316328178857404,0.06971530725231571,-0.30994900248413065
5,1997,Ireland,Ceramic goods,-21.322364990266163,0.06661020642503089,-0.2961439581981412
6,1997,Ireland,"Lead, zinc and tin prod.",-18.044895719684213,0.05637152489205738,-0.2506235516622808
7,1997,Ireland,Water,-16.62988888141928,0.05195110072087913,-0.23097067890860115
8,1997,Ireland,Other sectors,-80.25512858859224,0.250713777969467,-1.114654563730448
9,1997,Czechia,Gas elec. prod.,-66.06083430459826,0.24069424157026736,-0.9175115875638648
10,1997,Czechia,"Lead, zinc and tin",-46.11634199269264,0.1680260032555114,-0.6405047498985088
11,1997,Czechia,Nickel,-40.578478530202105,0.14784866429127927,-0.5635899795861403
12,1997,Czechia,Petroleum elec. prod.,-32.454245785849714,0.1182478265282279,-0.4507534136923571
13,1997,Czechia,Aluminium,-28.22064446443087,0.10282259810208826,-0.3919533953393176
14,1997,Czechia,Non-ferrous metals,-28.009669158443252,0.10205390449112656,-0.3890231827561563
15,1997,Czechia,Other sectors,-33.01934023265363,0.12030676176149928,-0.4586019476757449
16,1997,Brazil,Other sectors,219.99605340011576,-1.0,-3.0555007416682742
17,1997,Turkey,Plastic reproc.,-36.148343914335186,0.5593964570507035,-0.5020603321435443
18,1997,Turkey,Gaseous fuels distribution,-11.228302006856671,0.1737582329142351,-0.15594863898412042
19,1997,Turkey,Uranium and thorium,-5.992732012897273,0.09273766632334306,-0.08323238906801768
20,1997,Turkey,Other sectors,-11.250881023072466,0.17410764371171833,-0.15626223643156203
21,1997,Great-Britain,Fertilizers,-29.848079630135473,0.6644551388218585,-0.21819927612171544
22,1997,Great-Britain,Crude Petroleum,-15.07305632956066,0.3355448611781416,-0.11018899777831537
23,1997,Great-Britain,Other sectors,21.277180238893912,-0.3214157317093074,0.10554915734033483
24,1997,RoW Africa,Gas elec. prod.,-7.090409486536942,0.13301787819562527,-0.09847790953523532
25,1997,RoW Africa,Iron,-4.2293799152749445,0.07934423864817435,-0.05874138771215201
26,1997,RoW Africa,Petroleum elec. prod.,-3.2719918586169516,0.061383396168161436,-0.04544433136967989
27,1997,RoW Africa,Gaseous fuels distribution,-2.8127235224652214,0.05276740583455152,-0.03906560447868364
28,1997,RoW Africa,Fertilizers,-2.459993244228653,0.04615009645693799,-0.034166572836509077
29,1997,RoW Africa,Other sectors,-33.4396862127529,0.6273369846965495,-0.4644400862882348
30,1997,Sweden,Other sectors,309.7425441165374,-1.0,-4.301979779396352
31,1997,Spain,Biomass and waste elec. prod.,-4.38606951833056,0.20699626095409762,-0.06091763219903556
32,1997,Spain,Coke oven products,-2.480265105914703,0.11705368575523092,-0.034448126471037545
33,1997,Spain,Chemicals,-2.0267192478820473,0.09564903259330122,-0.028148878442806214
34,1997,Spain,Fertilizers,-1.205928265629308,0.05691260499198352,-0.016749003689295945
35,1997,Spain,Plastic prod.,-1.182509646047225,0.055807386146286185,-0.01642374508398924
36,1997,Spain,Other sectors,-9.907632590298697,0.46758102955910047,-0.137606008198593
37,1997,Russia,Gaseous fuels distribution,-2.119822913479119,0.5802581369998276,0.029198373324102092
38,1997,Russia,Petroleum Refinery,-1.5334182533565113,0.41974186300017247,0.02112125420420738
39,1997,Russia,Other sectors,7.276254348873912,-0.665744758156071,-0.03350002825933796
40,1997,Slovenia,Machinery and furniture,-1.9324327303653632,1.0,0.08451933295987683
41,1997,Slovenia,Other sectors,8.017824703476496,-0.805790679968444,-0.06810489077621848
0,1997,France,Copper reproc.,46.60651248511169,0.5738783459544782,0.647312673404329
1,1997,France,Crude Petroleum,12.169238924027754,0.14984306554747712,0.16901720727816325
2,1997,France,Fertilizers,11.163554101929375,0.1374598016754655,0.15504936252679688
3,1997,France,Other sectors,11.273921671419544,0.13881878682257917,0.15658224543638255
4,1997,Malta,Textile,6.540587437894962,0.2349321080223305,0.09084149219298558
5,1997,Malta,Wood and paper reproc.,5.4574889430059725,0.19602816934461778,0.07579845754174962
6,1997,Malta,Wood and paper prod.,4.510077411801983,0.16199798622974268,0.06263996405280531
7,1997,Malta,Machinery and furniture,2.2362589979754155,0.08032444263865003,0.031059152749658547
8,1997,Malta,Other sectors,9.095917307041958,0.326717293764659,0.1263321848200272
