,year,country,sector,coal,length_ratio,length
0,2013,Czechia,"Lead, zinc and tin",-68.84952488875822,0.803371155239736,-1.4050923446685353
1,2013,Other countries,"Lead, zinc and tin",-16.851242981371072,0.196628844760264,-0.34390291798716477
2,2013,Bulgaria,"Iron, steel and ferro-alloys",-24.49556508637352,0.5949543697216786,-0.42368386100636213
3,2013,Norway,"Iron, steel and ferro-alloys",-8.960442215217036,0.21763344637219864,-0.15498294245024075
4,2013,Cyprus,"Iron, steel and ferro-alloys",-7.716167125555206,0.18741218390612274,-0.13346152531685024
5,2013,Other countries,"Iron, steel and ferro-alloys",6.277886317246562,-0.13230512709066422,0.09421822904323403
6,2013,India,Construction products,-22.72212584354163,0.25942486311582597,-0.46371685394982914
7,2013,Cyprus,Construction products,-18.758900673940744,0.21417561336690152,-0.3828347076314437
8,2013,Japan,Construction products,-15.542720378949214,0.17745558380060344,-0.3171983750805962
9,2013,RoW Middle East,Construction products,-8.29421297906492,0.09469734837152197,-0.16926965263397795
10,2013,Other countries,Construction products,-22.26857894209104,0.25424659134514704,-0.4544607947365518
11,2013,Croatia,Gaseous fuels distribution,-7.136750081275576,0.4754714301277286,-0.049936345790983626
12,2013,Cyprus,Gaseous fuels distribution,-2.978285506467704,0.19842220239773103,-0.020839274630822437
13,2013,RoW Europe,Gaseous fuels distribution,-2.947514430626952,0.19637214217845037,-0.020623967233751622
14,2013,Greece,Gaseous fuels distribution,-1.9472899616226562,0.12973422529609,-0.01362532578155239
15,2013,Other countries,Gaseous fuels distribution,9.863619221574494,-0.3965519689739393,0.04164783621480354
16,2013,South Korea,Chemical and fertilizer minerals,-9.67561144128064,0.7223062236242106,0.09002082257208048
17,2013,Cyprus,Chemical and fertilizer minerals,-3.7198309968763166,0.27769377637578935,0.03460889765986785
18,2013,Other countries,Chemical and fertilizer minerals,19.502298729522426,-0.592815738628359,-0.0738824596543482
19,2013,Cyprus,Other non-metallic products,-9.72635039719567,0.3141016279804753,-0.19849694688154432
20,2013,Luxembourg,Other non-metallic products,-8.151195736849282,0.26323376666237147,-0.1663509334050874
21,2013,Croatia,Other non-metallic products,-4.227453754544963,0.13652089964778516,-0.08627456641928496
22,2013,India,Other non-metallic products,-4.1614308957742985,0.13438876512898662,-0.08492716113825098
23,2013,Other countries,Other non-metallic products,-4.699185216200625,0.15175494058038141,-0.09590173910613521
24,2013,Cyprus,Fertilizers,-7.1580239732337985,0.6770694792361823,0.14557606157742817
25,2013,RoW Europe,Fertilizers,-3.4140431376761926,0.3229305207638177,0.06943298260760271
26,2013,Other countries,Fertilizers,21.107510275976505,-0.6662813085604414,-0.14325650731193215
27,2013,Cyprus,Fabricated metal products,-2.5839040656048695,0.39366295475746665,-0.0011030668189262514
28,2013,India,Fabricated metal products,-2.1414500610335896,0.3262542018156154,-0.0009141835171658306
29,2013,RoW Middle East,Fabricated metal products,-1.0864579143697872,0.16552403724413223,-0.0004638081155774595
30,2013,Romania,Fabricated metal products,-0.7519350283516251,0.11455880618278567,-0.00032100053202589946
31,2013,Other countries,Fabricated metal products,6.426446179158795,-0.4947152098673846,0.0013862211981796805
