,year,country,sector,gas,length_ratio,length
0,2016,Czechia,Gas elec. prod.,-67.4803290478192,0.761880050380548,0.8327068977893053
1,2016,Lithuania,Gas elec. prod.,-21.090475521894568,0.23811994961945196,0.26025635459324536
2,2016,Other countries,Gas elec. prod.,142.12600393645874,-0.6160726923652089,-0.6733448135515534
3,2016,Lithuania,Gaseous fuels distribution,-17.43768854451362,0.4797884554500763,-0.10406822734283232
4,2016,Brazil,Gaseous fuels distribution,-9.927836110710501,0.27315897639529396,-0.05924938404275291
5,2016,Slovakia,Gaseous fuels distribution,-8.979010830015525,0.2470525681546297,-0.05358678921156707
6,2016,Other countries,Gaseous fuels distribution,25.716219855979183,-0.4143716864963657,0.0898790422839253
7,2016,Luxembourg,Textile,-23.321023482095235,0.6107394961814252,-0.403172939041042
8,2016,Bulgaria,Textile,-9.987350707775231,0.26155239473674385,-0.17266092721783094
9,2016,India,Textile,-4.876520725076272,0.127708109081831,-0.08430509898217017
10,2016,Other countries,Textile,5.838085618135629,-0.1326145015044683,0.08754399979911645
11,2016,Lithuania,Chemicals,-28.295624336005183,0.8530410345761488,-0.5243153755905648
12,2016,Spain,Chemicals,-4.874672506824251,0.14695896542385117,-0.09032724339092629
13,2016,Other countries,Chemicals,3.0528085127363696,-0.08427793483661927,0.05180081059033112
14,2016,Mexico,Biomass and waste elec. prod.,-17.297723080302152,0.47498057593574056,-0.21361770610238423
15,2016,Lithuania,Biomass and waste elec. prod.,-9.24134994981156,0.25375950934165076,-0.11412577068112284
16,2016,Slovenia,Biomass and waste elec. prod.,-5.413615048256083,0.14865320606520835,-0.06685527470645646
17,2016,Taiwan,Biomass and waste elec. prod.,-4.465060260548248,0.1226067086574003,-0.05514112614933652
18,2016,Other countries,Biomass and waste elec. prod.,14.380494334592342,-0.2830903900951538,0.1273170374022562
19,2016,Lithuania,Crude Petroleum,-11.882212163268546,0.3575435415841791,-0.07848138602389856
20,2016,Czechia,Crude Petroleum,-11.13047334282065,0.3349232284205974,-0.07351619067592284
21,2016,France,Crude Petroleum,-6.380728124559049,0.19200028582161402,-0.04214437346987366
22,2016,Ireland,Crude Petroleum,-3.8394958791184948,0.11553294417360943,-0.02535966822388207
23,2016,Other countries,Crude Petroleum,22.47733020848146,-0.40346856021728594,0.0885620019386207
24,2016,Great-Britain,Fertilizers,-21.564906555936393,0.8443007336355652,-0.14204504202470503
25,2016,Spain,Fertilizers,-3.9768295776776874,0.1556992663644348,-0.02619482366042594
26,2016,Other countries,Fertilizers,17.297982715042664,-0.40378375908937714,0.0679325253950341
27,2016,Slovenia,Chemical and fertilizer minerals,-4.117920510453277,0.3974564554894817,-0.05952139696490875
28,2016,Lithuania,Chemical and fertilizer minerals,-2.5318920646949294,0.2443750050932437,-0.03659656670702003
29,2016,Czechia,Chemical and fertilizer minerals,-1.8697171469034046,0.1804627233793627,-0.0270253338378997
30,2016,Ireland,Chemical and fertilizer minerals,-1.8411537027072384,0.17770581603791183,-0.02661247106010463
31,2016,Other countries,Chemical and fertilizer minerals,3.022650764832128,-0.22585184842675643,0.03382261714408895
32,2016,Brazil,Water,-19.86612951370879,0.5400222812042106,-0.40543121456548553
33,2016,Lithuania,Water,-14.821992789950087,0.40290718697357925,-0.3024896487744916
34,2016,Other countries,Water,-2.0994885138221377,0.0570705318222103,-0.042846704363717104
35,2016,Other countries,Copper reproc.,46.701479302009744,-1.0,-0.9530914143267295
0,2016,Hungary,Precious metals reproc.,0.0213362689537977,1.0,0.0004354340602815857
1,2016,Other countries,Precious metals reproc.,0.0,0.0,0.0
2,2016,Netherlands,Construction,1.9374509545834195,0.7563416213796477,0.03953981539966162
3,2016,Other countries,Construction,0.6241573184735394,0.24365837862035233,0.01273790445864366
4,2016,Ireland,Non-ferrous metals prod.,15.415903931234176,0.6420953874087963,0.21134184409170229
5,2016,Netherlands,Non-ferrous metals prod.,8.592840304487124,0.35790461259120354,0.1178021557500991
6,2016,Other countries,Non-ferrous metals prod.,-7.880688243473031,-0.24712538389056127,-0.08133983731618001
7,2016,Brazil,Other sources elec. prod.,33.772408807836385,1.0,-0.20244736138913946
8,2016,Other countries,Other sources elec. prod.,-43.69232951590422,-0.5640286207810482,0.11418610602507877
9,2016,Netherlands,Petroleum Refinery,20.122983553763227,0.5664335659482655,0.4106731337502699
10,2016,Mexico,Petroleum Refinery,5.525880894228652,0.15554574258636572,0.11277307947405411
11,2016,Other countries,Petroleum Refinery,9.876896671187861,0.2780206914653687,0.20156931982016044
12,2016,Ireland,"Lead, zinc and tin prod.",10.934469982282293,0.8334163947702871,0.20239332654545886
13,2016,Netherlands,"Lead, zinc and tin prod.",2.1855862715860264,0.1665836052297129,0.04045445976578131
14,2016,Other countries,"Lead, zinc and tin prod.",-1.2205147246175514,-0.08510921402283089,-0.020668584220134043
