,year,country,sector,oil,length_ratio,length
0,1996,Chemicals,Other countries,,,
1,1996,Non-ferrous metals,Other countries,,,
2,1996,Casting of metals,Other countries,,,
3,1996,Machinery and furniture,Other countries,,,
4,1996,Copper prod.,Other countries,,,
5,1996,Precious metals reproc.,Other countries,,,
6,1996,Other non-metallic products,Other countries,,,
7,1996,Ash reproc. into clinker,Other countries,,,
8,1996,Recycling,Other countries,,,
9,1996,Steel reproc.,Other countries,,,
0,1996,Aluminium,Other countries,,,
1,1996,Plastic reproc.,Other countries,,,
2,1996,Lead reproc.,Other countries,,,
3,1996,"Lead, zinc and tin prod.",Other countries,,,
4,1996,Petroleum Refinery,Other countries,,,
5,1996,Wood and paper reproc.,Other countries,,,
6,1996,Natural Gas,Other countries,,,
7,1996,Other petroleum,Other countries,,,
8,1996,Crude Petroleum,Other countries,,,
9,1996,Stone quarrying,Other countries,,,
0,1997,Copper,Other countries,,,
1,1997,Gaseous fuels distribution,Other countries,,,
2,1997,Natural Gas,Other countries,,,
3,1997,Non-ferrous metals reproc.,Other countries,,,
4,1997,Iron,Other countries,,,
5,1997,Geothermal elec. prod.,Other countries,,,
6,1997,Nickel,Other countries,,,
7,1997,Nuclear elec. prod.,Other countries,,,
8,1997,"Tide, wave and ocean elec. prod.",Other countries,,,
9,1997,Crude Petroleum,Other countries,,,
0,1997,Other petroleum,Other countries,,,
1,1997,Coke oven products,Other countries,,,
2,1997,Ceramic goods,Other countries,,,
3,1997,"Coal, lignite and peat",Other countries,,,
4,1997,Gas elec. prod.,Other countries,,,
5,1997,Processing Nuclear Fuel,Other countries,,,
6,1997,Chemicals,Other countries,,,
7,1997,Fertilizers,Other countries,,,
8,1997,Petroleum elec. prod.,Other countries,,,
9,1997,Petroleum Refinery,Other countries,,,
0,1998,Gaseous fuels distribution,Other countries,,,
1,1998,Copper,Other countries,,,
2,1998,Iron,Other countries,,,
3,1998,Nickel,Other countries,,,
4,1998,Non-ferrous metals reproc.,Other countries,,,
5,1998,Plastic prod.,Other countries,,,
6,1998,Nuclear elec. prod.,Other countries,,,
7,1998,Uranium and thorium,Other countries,,,
8,1998,Solar photovoltaic elec. prod.,Other countries,,,
9,1998,"Tide, wave and ocean elec. prod.",Other countries,,,
0,1998,Wood and paper reproc.,Other countries,,,
1,1998,Water,Other countries,,,
2,1998,"Coal, lignite and peat",Other countries,,,
3,1998,Gas elec. prod.,Other countries,,,
4,1998,Chemicals,Other countries,,,
5,1998,Fertilizers,Other countries,,,
6,1998,Processing Nuclear Fuel,Other countries,,,
7,1998,Other petroleum,Other countries,,,
8,1998,Petroleum elec. prod.,Other countries,,,
9,1998,Petroleum Refinery,Other countries,,,
0,1999,Copper,Other countries,,,
1,1999,Gaseous fuels distribution,Other countries,,,
2,1999,Iron,Other countries,,,
3,1999,Water,Other countries,,,
4,1999,Nickel,Other countries,,,
5,1999,Non-ferrous metals reproc.,Other countries,,,
6,1999,Uranium and thorium,Other countries,,,
7,1999,Copper reproc.,Other countries,,,
8,1999,Nuclear elec. prod.,Other countries,,,
9,1999,"Tide, wave and ocean elec. prod.",Other countries,,,
0,1999,Coal elec. prod.,Other countries,,,
1,1999,Coke oven products,Other countries,,,
2,1999,Gas elec. prod.,Other countries,,,
3,1999,Processing Nuclear Fuel,Other countries,,,
4,1999,Non-ferrous metals,Other countries,,,
5,1999,Other petroleum,Other countries,,,
6,1999,Chemicals,Other countries,,,
7,1999,Fertilizers,Other countries,,,
8,1999,Petroleum elec. prod.,Other countries,,,
9,1999,Petroleum Refinery,Other countries,,,
0,2000,Water,Other countries,,,
1,2000,Copper reproc.,Other countries,,,
2,2000,Non-ferrous metals reproc.,Other countries,,,
3,2000,Nickel,Other countries,,,
4,2000,Uranium and thorium,Other countries,,,
5,2000,Crude Petroleum,Other countries,,,
6,2000,"Tide, wave and ocean elec. prod.",Other countries,,,
7,2000,Precious metals reproc.,Other countries,,,
8,2000,Glass reproc.,Other countries,,,
