latitude,longitude,year
14.0,103.0,1995
35.0,136.0,1995
,,1995
35.84,105.45,1995
40.83,-98.58,1995
,,1995
40.83,-96.58,1995
35.0,136.0,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
40.83,-96.58,1995
9.0,8.0,1995
,,1995
40.83,-96.58,1995
9.0,8.0,1995
,,1995
40.83,-96.58,1995
9.0,8.0,1995
,,1995
60.0,-104.0,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
40.83,-96.58,1995
35.0,136.0,1995
,,1995
24.0,123.0,1995
40.83,-98.58,1995
,,1995
40.83,-96.58,1995
40.2,-3.5,1995
,,1995
40.83,-96.58,1995
40.2,-3.5,1995
,,1995
14.0,103.0,1995
36.0,128.0,1995
,,1995
40.83,-96.58,1995
36.0,128.0,1995
,,1995
4.0,-71.25,1995
-13.0,-53.0,1995
,,1995
40.83,-96.58,1995
40.2,-3.5,1995
,,1995
4.0,-71.25,1995
40.83,-98.58,1995
,,1995
60.0,-104.0,1995
35.0,136.0,1995
,,1995
14.0,103.0,1995
22.8,80.0,1995
,,1995
35.84,105.45,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
14.0,103.0,1995
22.8,80.0,1995
,,1995
40.83,-96.58,1995
14.0,101.0,1995
,,1995
4.0,-71.25,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
40.83,-98.58,1995
,,1995
40.83,-96.58,1995
14.0,101.0,1995
,,1995
40.83,-96.58,1995
35.0,136.0,1995
,,1995
40.83,-96.58,1995
23.72,44.12,1995
,,1995
24.0,123.0,1995
14.0,101.0,1995
,,1995
35.84,105.45,1995
14.0,101.0,1995
,,1995
40.83,-96.58,1995
14.0,101.0,1995
,,1995
4.0,-71.25,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
36.0,128.0,1995
,,1995
14.0,103.0,1995
40.83,-98.58,1995
,,1995
47.0,4.0,1995
42.5,12.5,1995
,,1995
60.0,-104.0,1995
24.0,121.0,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
47.0,4.0,1995
54.6,-2.0,1995
,,1995
60.0,-104.0,1995
35.0,136.0,1995
,,1995
47.0,4.0,1995
50.64,4.67,1995
,,1995
35.84,105.45,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
40.83,-96.58,1995
35.0,136.0,1995
,,1995
4.0,-71.25,1995
-13.0,-53.0,1995
,,1995
40.83,-96.58,1995
35.0,136.0,1995
,,1995
14.0,103.0,1995
36.0,128.0,1995
,,1995
4.0,-71.25,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
35.84,103.45,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
-1.0,117.0,1995
50.64,4.67,1995
,,1995
35.84,105.45,1995
14.0,101.0,1995
,,1995
49.0,34.0,1995
14.0,101.0,1995
,,1995
51.0,12.0,1995
14.0,101.0,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
14.0,103.0,1995
36.0,128.0,1995
,,1995
47.0,4.0,1995
42.5,12.5,1995
,,1995
40.83,-96.58,1995
42.5,12.5,1995
,,1995
14.0,103.0,1995
40.2,-3.5,1995
,,1995
40.83,-96.58,1995
35.0,136.0,1995
,,1995
14.0,103.0,1995
40.2,-3.5,1995
,,1995
9.0,10.0,1995
47.0,2.0,1995
,,1995
-25.5,137.0,1995
14.0,101.0,1995
,,1995
4.0,-71.25,1995
40.83,-98.58,1995
,,1995
39.0,38.0,1995
42.5,12.5,1995
,,1995
35.84,105.45,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
40.83,-98.58,1995
,,1995
9.0,10.0,1995
51.0,10.0,1995
,,1995
40.83,-96.58,1995
40.2,-3.5,1995
,,1995
-25.5,137.0,1995
14.0,101.0,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
60.0,-104.0,1995
23.0,-102.0,1995
,,1995
66.42,96.25,1995
49.0,32.0,1995
,,1995
9.0,10.0,1995
40.83,-98.58,1995
,,1995
47.0,4.0,1995
54.6,-2.0,1995
,,1995
40.83,-96.58,1995
14.0,101.0,1995
,,1995
4.0,-71.25,1995
-13.0,-53.0,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
24.0,123.0,1995
40.83,-98.58,1995
,,1995
40.83,-96.58,1995
-1.0,115.0,1995
,,1995
60.0,-104.0,1995
35.0,136.0,1995
,,1995
9.0,10.0,1995
47.0,2.0,1995
,,1995
24.0,123.0,1995
35.0,136.0,1995
,,1995
14.0,103.0,1995
22.8,80.0,1995
,,1995
52.32,7.55,1995
51.0,10.0,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
47.0,4.0,1995
52.32,5.55,1995
,,1995
14.0,103.0,1995
40.2,-3.5,1995
,,1995
4.0,-71.25,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
35.0,136.0,1995
,,1995
4.0,-71.25,1995
51.0,10.0,1995
,,1995
14.0,103.0,1995
24.0,121.0,1995
,,1995
35.84,105.45,1995
40.83,-98.58,1995
,,1995
14.0,103.0,1995
40.83,-98.58,1995
,,1995
60.0,-104.0,1995
50.64,4.67,1995
,,1995
14.0,103.0,1995
24.0,121.0,1995
,,1995
60.0,-104.0,1995
35.0,136.0,1995
,,1995
35.84,105.45,1995
40.83,-98.58,1995
,,1995
-1.0,117.0,1995
14.0,101.0,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
53.4244,-3.618,1995
47.0,2.0,1995
,,1995
22.5444,42.502,1995
35.0,136.0,1995
,,1995
53.4244,-3.618,1995
51.0,10.0,1995
,,1995
22.5444,42.502,1995
36.0,128.0,1995
,,1995
22.5444,42.502,1995
14.0,101.0,1995
,,1995
-2.1756,113.382,1995
35.0,136.0,1995
,,1995
-2.1756,113.382,1995
14.0,101.0,1995
,,1995
22.5444,42.502,1995
47.0,2.0,1995
,,1995
22.5444,42.502,1995
42.5,12.5,1995
,,1995
7.8244,6.382,1995
42.5,12.5,1995
,,1995
12.8244,99.382,1995
35.0,136.0,1995
,,1995
21.8244,-103.618,1995
35.0,136.0,1995
,,1995
12.8244,99.382,1995
35.0,136.0,1995
,,1995
2.8244,-74.868,1995
60.0,-106.0,1995
,,1995
7.8244,6.382,1995
47.0,2.0,1995
,,1995
-2.1756,113.382,1995
24.0,121.0,1995
,,1995
12.8244,99.382,1995
-25.5,135.0,1995
,,1995
2.8244,-74.868,1995
-13.0,-53.0,1995
,,1995
58.8244,-107.618,1995
35.0,136.0,1995
,,1995
12.8244,99.382,1995
66.42,94.25,1995
,,1995
21.8244,-103.618,1995
4.0,-73.25,1995
,,1995
7.8244,6.382,1995
51.0,10.0,1995
,,1995
12.8244,99.382,1995
36.0,128.0,1995
,,1995
-26.6756,133.382,1995
9.0,8.0,1995
,,1995
2.8244,-74.868,1995
35.0,136.0,1995
,,1995
22.5444,42.502,1995
51.0,10.0,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
-2.1756,113.382,1995
35.84,103.45,1995
,,1995
-2.1756,113.382,1995
36.0,128.0,1995
,,1995
22.5444,42.502,1995
-13.0,-53.0,1995
,,1995
22.5444,42.502,1995
38.5,23.0,1995
,,1995
-26.6756,133.382,1995
14.0,101.0,1995
,,1995
-14.1756,-54.618,1995
35.0,136.0,1995
,,1995
-2.1756,113.382,1995
-25.5,135.0,1995
,,1995
12.8244,99.382,1995
35.0,136.0,1995
,,1995
39.0244,-5.118,1995
23.72,44.12,1995
,,1995
34.6644,101.832,1995
35.0,136.0,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
2.8244,-74.868,1995
51.0,10.0,1995
,,1995
-26.6756,133.382,1995
36.0,128.0,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
2.8244,-74.868,1995
36.0,128.0,1995
,,1995
12.8244,99.382,1995
35.0,136.0,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
12.8244,99.382,1995
66.42,94.25,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
7.8244,6.382,1995
47.0,2.0,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
7.8244,6.382,1995
36.0,128.0,1995
,,1995
7.8244,6.382,1995
60.0,-106.0,1995
,,1995
53.4244,-3.618,1995
42.5,12.5,1995
,,1995
2.8244,-74.868,1995
-13.0,-53.0,1995
,,1995
21.8244,-103.618,1995
60.0,-106.0,1995
,,1995
7.8244,6.382,1995
-13.0,-53.0,1995
,,1995
12.8244,99.382,1995
46.8,8.23,1995
,,1995
39.6544,-100.198,1995
4.0,-73.25,1995
,,1995
-2.1756,113.382,1995
35.0,136.0,1995
,,1995
34.6644,101.832,1995
14.0,101.0,1995
,,1995
2.8244,-74.868,1995
-13.0,-53.0,1995
,,1995
12.8244,99.382,1995
35.0,136.0,1995
,,1995
12.8244,99.382,1995
36.0,128.0,1995
,,1995
12.8244,99.382,1995
49.0,20.0,1995
,,1995
12.8244,99.382,1995
66.42,94.25,1995
,,1995
12.8244,99.382,1995
49.0,20.0,1995
,,1995
7.8244,6.382,1995
39.0,36.0,1995
,,1995
48.3244,14.382,1995
48.0,14.0,1995
,,1995
12.8244,99.382,1995
66.42,94.25,1995
,,1995
7.8244,6.382,1995
48.0,14.0,1995
,,1995
-14.1756,-54.618,1995
24.0,121.0,1995
,,1995
-14.1756,-54.618,1995
23.72,44.12,1995
,,1995
-14.1756,-54.618,1995
14.0,101.0,1995
,,1995
58.8244,-107.618,1995
51.0,10.0,1995
,,1995
12.8244,99.382,1995
35.0,136.0,1995
,,1995
-26.6756,133.382,1995
36.0,128.0,1995
,,1995
12.8244,99.382,1995
-1.0,115.0,1995
,,1995
-14.1756,-54.618,1995
4.0,-73.25,1995
,,1995
12.8244,99.382,1995
35.84,103.45,1995
,,1995
22.5444,42.502,1995
24.0,121.0,1995
,,1995
12.8244,99.382,1995
4.0,-73.25,1995
,,1995
-26.6756,133.382,1995
24.0,121.0,1995
,,1995
22.5444,42.502,1995
-1.0,115.0,1995
,,1995
22.5444,42.502,1995
-13.0,-53.0,1995
,,1995
21.8244,-103.618,1995
50.64,4.67,1995
,,1995
-2.1756,113.382,1995
14.0,101.0,1995
,,1995
7.8244,6.382,1995
47.0,2.0,1995
,,1995
-14.1756,-54.618,1995
36.0,128.0,1995
,,1995
-14.1756,-54.618,1995
42.5,12.5,1995
,,1995
12.8244,99.382,1995
48.0,14.0,1995
,,1995
7.8244,6.382,1995
46.8,8.23,1995
,,1995
12.8244,99.382,1995
66.42,94.25,1995
,,1995
12.8244,99.382,1995
24.0,121.0,1995
,,1995
22.5444,42.502,1995
-25.5,135.0,1995
,,1995
12.8244,99.382,1995
-1.0,115.0,1995
,,1995
22.5444,42.502,1995
-13.0,-53.0,1995
,,1995
-14.1756,-54.618,1995
47.0,2.0,1995
,,1995
22.5444,42.502,1995
35.84,103.45,1995
,,1995
58.8244,-107.618,1995
14.0,101.0,1995
,,1995
-26.6756,133.382,1995
35.0,136.0,1995
,,1995
36.1756,134.382,1995
36.0,128.0,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
42.0056,-100.198,1995
35.0,136.0,1995
,,1995
37.1756,126.382,1995
66.42,94.25,1995
,,1995
67.5956,92.632,1995
24.0,121.0,1995
,,1995
37.0156,101.832,1995
14.0,101.0,1995
,,1995
67.5956,92.632,1995
23.72,44.12,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
52.1756,8.382,1995
54.6,-2.0,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
52.1756,8.382,1995
47.0,2.0,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
35.0,136.0,1995
,,1995
52.1756,8.382,1995
50.64,4.67,1995
,,1995
52.1756,8.382,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
35.0,136.0,1995
,,1995
42.0056,-100.198,1995
35.0,136.0,1995
,,1995
52.1756,8.382,1995
52.32,5.55,1995
,,1995
42.0056,-100.198,1995
54.6,-2.0,1995
,,1995
36.1756,134.382,1995
14.0,101.0,1995
,,1995
48.1756,0.382,1995
54.6,-2.0,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
61.1756,-107.618,1995
35.0,136.0,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
15.1756,99.382,1995
35.0,136.0,1995
,,1995
42.0056,-100.198,1995
14.0,101.0,1995
,,1995
42.0056,-100.198,1995
60.0,-106.0,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
14.0,101.0,1995
,,1995
48.1756,0.382,1995
51.0,10.0,1995
,,1995
42.0056,-100.198,1995
4.0,-73.25,1995
,,1995
42.0056,-100.198,1995
53.0,-8.0,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
41.3756,-5.118,1995
23.72,44.12,1995
,,1995
36.1756,134.382,1995
14.0,101.0,1995
,,1995
55.7756,-3.618,1995
35.0,136.0,1995
,,1995
61.1756,-107.618,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
14.0,101.0,1995
,,1995
36.1756,134.382,1995
14.0,101.0,1995
,,1995
61.6756,12.382,1995
9.0,8.0,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
67.5956,92.632,1995
40.83,-98.58,1995
,,1995
48.1756,0.382,1995
50.64,4.67,1995
,,1995
55.7756,-3.618,1995
42.5,12.5,1995
,,1995
51.8156,3.052,1995
51.0,10.0,1995
,,1995
24.1756,-103.618,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
14.0,101.0,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
24.8956,42.502,1995
36.0,128.0,1995
,,1995
37.1756,126.382,1995
40.83,-98.58,1995
,,1995
5.1756,-74.868,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
47.0,2.0,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
36.1756,134.382,1995
14.0,101.0,1995
,,1995
67.5956,92.632,1995
24.0,121.0,1995
,,1995
15.1756,99.382,1995
35.0,136.0,1995
,,1995
24.1756,-103.618,1995
54.6,-2.0,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
36.1756,134.382,1995
24.0,121.0,1995
,,1995
55.7756,-3.618,1995
35.84,103.45,1995
,,1995
48.1756,0.382,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
61.1756,-107.618,1995
40.83,-98.58,1995
,,1995
61.6756,12.382,1995
4.0,-73.25,1995
,,1995
42.0056,-100.198,1995
47.0,2.0,1995
,,1995
67.5956,92.632,1995
54.6,-2.0,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
52.1756,8.382,1995
40.83,-98.58,1995
,,1995
67.5956,92.632,1995
40.83,-98.58,1995
,,1995
40.1756,34.382,1995
23.72,44.12,1995
,,1995
53.4956,3.932,1995
51.0,10.0,1995
,,1995
52.1756,8.382,1995
40.83,-98.58,1995
,,1995
52.1756,8.382,1995
35.0,136.0,1995
,,1995
36.1756,134.382,1995
36.0,128.0,1995
,,1995
55.7756,-3.618,1995
24.0,121.0,1995
,,1995
36.1756,134.382,1995
14.0,101.0,1995
,,1995
67.5956,92.632,1995
35.84,103.45,1995
,,1995
36.1756,134.382,1995
40.83,-98.58,1995
,,1995
0.1756,113.382,1995
35.0,136.0,1995
,,1995
55.7756,-3.618,1995
50.64,4.67,1995
,,1995
53.4956,3.932,1995
51.0,10.0,1995
,,1995
43.6756,10.882,1995
47.0,2.0,1995
,,1995
61.1756,-107.618,1995
40.83,-98.58,1995
,,1995
42.0056,-100.198,1995
23.72,44.12,1995
,,1995
36.1756,134.382,1995
24.0,121.0,1995
,,1995
67.5956,92.632,1995
24.0,121.0,1995
,,1995
42.0056,-100.198,1995
4.0,-73.25,1995
,,1995
42.0056,-100.198,1995
35.0,136.0,1995
,,1995
42.0056,-100.198,1995
51.0,10.0,1995
,,1995
48.1756,0.382,1995
40.83,-98.58,1995
,,1995
67.5956,92.632,1995
24.0,121.0,1995
,,1995
24.1756,-103.618,1995
40.83,-98.58,1995
,,1995
61.1756,-107.618,1995
40.83,-98.58,1995
,,1995
61.6756,12.382,1995
9.0,8.0,1995
,,1995
52.1756,8.382,1995
52.32,5.55,1995
,,1995
45.098,2.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
35.0,136.0,1995
,,1995
12.098,101.618,1995
36.0,128.0,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
36.0,128.0,1995
,,1995
38.928,-97.962,1995
51.0,10.0,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
51.0,10.0,1995
,,1995
38.928,-97.962,1995
51.0,10.0,1995
,,1995
12.098,101.618,1995
51.0,10.0,1995
,,1995
12.098,101.618,1995
36.0,128.0,1995
,,1995
45.098,2.618,1995
40.83,-98.58,1995
,,1995
38.928,-97.962,1995
51.0,10.0,1995
,,1995
12.098,101.618,1995
54.6,-2.0,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
54.6,-2.0,1995
,,1995
12.098,101.618,1995
36.0,128.0,1995
,,1995
45.098,2.618,1995
40.83,-98.58,1995
,,1995
38.928,-97.962,1995
47.0,2.0,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
38.928,-97.962,1995
47.0,2.0,1995
,,1995
38.928,-97.962,1995
51.0,10.0,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
40.598,13.118,1995
40.83,-98.58,1995
,,1995
38.928,-97.962,1995
51.0,10.0,1995
,,1995
12.098,101.618,1995
36.0,128.0,1995
,,1995
2.098,-72.632,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
36.0,128.0,1995
,,1995
12.098,101.618,1995
36.0,128.0,1995
,,1995
12.098,101.618,1995
53.0,-8.0,1995
,,1995
40.598,13.118,1995
40.83,-98.58,1995
,,1995
38.928,-97.962,1995
51.0,10.0,1995
,,1995
50.418,6.168,1995
51.0,10.0,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
,,1995
2.098,-72.632,1995
40.83,-98.58,1995
,,1995
12.098,101.618,1995
40.83,-98.58,1995
