CODE,lat,lon,lat0,lon0,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,EXIOBASE_name
AUS,-25.5,135.0,-25.5,137.0,-26.6756,133.382,-24.3244,133.382,-27.402,135.618,-23.598,135.618,Australia
AUT,48.0,14.0,48.0,16.0,46.8244,12.382,49.1756,12.382,46.098,14.618,49.902,14.618,Austria
BEL,50.64,4.67,50.64,6.67,49.4644,3.052,51.8156,3.052,48.738,5.288,52.542,5.288,Belgium
BRA,-13.0,-53.0,-13.0,-51.0,-14.1756,-54.618,-11.8244,-54.618,-14.902,-52.382,-11.098,-52.382,Brazil
BGR,42.75,25.5,42.75,27.5,41.5744,23.882,43.9256,23.882,40.848,26.118,44.652,26.118,Bulgaria
CAN,60.0,-106.0,60.0,-104.0,58.8244,-107.618,61.1756,-107.618,58.098,-105.382,61.902,-105.382,Canada
CHN,35.84,103.45,35.84,105.45,34.6644,101.832,37.0156,101.832,33.938,104.068,37.742,104.068,China
HRV,45.25,15.47,45.25,17.47,44.0744,13.852,46.4256,13.852,43.348,16.088,47.152,16.088,Croatia
CYP,35.0,33.0,35.0,35.0,33.8244,31.382,36.1756,31.382,33.098,33.618,36.902,33.618,Cyprus
CZE,49.5,16.0,49.5,18.0,48.3244,14.382,50.6756,14.382,47.598,16.618,51.402,16.618,Czech Republic
DNK,56.0,10.0,56.0,12.0,54.8244,8.382,57.1756,8.382,54.098,10.618,57.902,10.618,Denmark
EST,59.0,26.0,59.0,28.0,57.8244,24.382,60.1756,24.382,57.098,26.618,60.902,26.618,Estonia
FIN,65.0,27.0,65.0,29.0,63.8244,25.382,66.1756,25.382,63.098,27.618,66.902,27.618,Finland
FRA,47.0,2.0,47.0,4.0,45.8244,0.382,48.1756,0.382,45.098,2.618,48.902,2.618,France
DEU,51.0,10.0,51.0,12.0,49.8244,8.382,52.1756,8.382,49.098,10.618,52.902,10.618,Germany
GRC,38.5,23.0,38.5,25.0,37.3244,21.382,39.6756,21.382,36.598,23.618,40.402,23.618,Greece
HUN,47.0,19.0,47.0,21.0,45.8244,17.382,48.1756,17.382,45.098,19.618,48.902,19.618,Hungary
IND,22.8,80.0,22.8,82.0,21.6244,78.382,23.9756,78.382,20.898,80.618,24.702,80.618,India
IDN,-1.0,115.0,-1.0,117.0,-2.1756,113.382,0.1756,113.382,-2.902,115.618,0.902,115.618,Indonesia
IRL,53.0,-8.0,53.0,-6.0,51.8244,-9.618,54.1756,-9.618,51.098,-7.382,54.902,-7.382,Ireland
ITA,42.5,12.5,42.5,14.5,41.3244,10.882,43.6756,10.882,40.598,13.118,44.402,13.118,Italy
