latitude,longitude,color,year,country,sector
35.84,103.45,lime,1995,China,"Cultivation of vegetables, fruit, nuts"
42.0056,-100.198,lime,1995,USA,Processing of food products
,,lime,1995,USA,Processing of food products
40.83,-98.58,lime,1995,USA,Forestry
36.1756,134.382,lime,1995,Japan,Manufacture of wood products
,,lime,1995,Japan,Manufacture of wood products
14.0,101.0,lime,1995,RoW Asia and Pacific,Forestry
36.1756,134.382,lime,1995,Japan,Manufacture of wood products
,,lime,1995,Japan,Manufacture of wood products
40.83,-98.58,lime,1995,USA,Cultivation of cereal grains
10.1756,6.382,lime,1995,RoW Africa,Processing of food products
,,lime,1995,RoW Africa,Processing of food products
40.83,-98.58,lime,1995,USA,Cultivation of cereal grains
10.1756,6.382,lime,1995,RoW Africa,Chemicals
,,lime,1995,RoW Africa,Chemicals
40.83,-98.58,lime,1995,USA,Cultivation of cereal grains
9.0,10.0,lime,1995,RoW Africa,Cultivation of cereal grains
,,lime,1995,RoW Africa,Cultivation of cereal grains
60.0,-106.0,lime,1995,Canada,Cultivation of cereal grains
42.0056,-100.198,lime,1995,USA,Processing of food products
,,lime,1995,USA,Processing of food products
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
36.1756,134.382,lime,1995,Japan,Processing of food products
,,lime,1995,Japan,Processing of food products
40.83,-98.58,lime,1995,USA,Cultivation of oil seeds
36.1756,134.382,lime,1995,Japan,Processing vegetable oils and fats
,,lime,1995,Japan,Processing vegetable oils and fats
24.0,121.0,lime,1995,Taiwan,"Cultivation of vegetables, fruit, nuts"
42.0056,-100.198,lime,1995,USA,Processing of food products
,,lime,1995,USA,Processing of food products
40.83,-98.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
41.3756,-5.118,lime,1995,Spain,Processing of food products
,,lime,1995,Spain,Processing of food products
40.83,-98.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
41.3756,-5.118,lime,1995,Spain,Manufacture of beverages
,,lime,1995,Spain,Manufacture of beverages
14.0,101.0,lime,1995,RoW Asia and Pacific,Forestry
37.1756,126.382,lime,1995,South Korea,Manufacture of wood products
,,lime,1995,South Korea,Manufacture of wood products
40.83,-98.58,lime,1995,USA,Cultivation of plant-based fibers
37.1756,126.382,lime,1995,South Korea,Manufacture of textiles
,,lime,1995,South Korea,Manufacture of textiles
4.0,-73.25,lime,1995,RoW America,Cultivation of wheat
-11.8244,-54.618,lime,1995,Brazil,Processing of food products
,,lime,1995,Brazil,Processing of food products
40.83,-98.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
40.2,-1.5,lime,1995,Spain,"Cultivation of vegetables, fruit, nuts"
,,lime,1995,Spain,"Cultivation of vegetables, fruit, nuts"
4.0,-73.25,lime,1995,RoW America,Cultivation of crops
42.0056,-100.198,lime,1995,USA,Processing of food products
,,lime,1995,USA,Processing of food products
60.0,-106.0,lime,1995,Canada,Cultivation of oil seeds
36.1756,134.382,lime,1995,Japan,Processing vegetable oils and fats
,,lime,1995,Japan,Processing vegetable oils and fats
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
23.9756,78.382,lime,1995,India,Processing of food products
,,lime,1995,India,Processing of food products
35.84,103.45,lime,1995,China,"Cultivation of vegetables, fruit, nuts"
42.0056,-100.198,lime,1995,USA,Manufacture of beverages
,,lime,1995,USA,Manufacture of beverages
14.0,101.0,lime,1995,RoW Asia and Pacific,Fishing
36.1756,134.382,lime,1995,Japan,Manufacture of fish products
,,lime,1995,Japan,Manufacture of fish products
14.0,101.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
23.9756,78.382,lime,1995,India,Processing vegetable oils and fats
,,lime,1995,India,Processing vegetable oils and fats
40.83,-98.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
12.098,101.618,lime,1995,RoW Asia and Pacific,Hotels and restaurants
,,lime,1995,RoW Asia and Pacific,Hotels and restaurants
4.0,-73.25,lime,1995,RoW America,Cultivation of crops
42.732,-97.962,lime,1995,USA,Real estate activities
,,lime,1995,USA,Real estate activities
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of crops
42.0056,-100.198,lime,1995,USA,Processing of food products
,,lime,1995,USA,Processing of food products
40.83,-98.58,lime,1995,USA,Cultivation of plant-based fibers
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
40.83,-98.58,lime,1995,USA,Cultivation of oil seeds
36.1756,134.382,lime,1995,Japan,Processing of food products
,,lime,1995,Japan,Processing of food products
40.83,-98.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
24.8956,42.502,lime,1995,RoW Middle East,Chemicals
,,lime,1995,RoW Middle East,Chemicals
24.0,121.0,lime,1995,Taiwan,Pigs farming
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
35.84,103.45,lime,1995,China,Poultry farming
15.1756,99.382,lime,1995,RoW Asia and Pacific,Chemicals
,,lime,1995,RoW Asia and Pacific,Chemicals
40.83,-98.58,lime,1995,USA,"Cultivation of vegetables, fruit, nuts"
14.0,103.0,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
,,lime,1995,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts"
4.0,-73.25,lime,1995,RoW America,Cultivation of crops
42.0056,-100.198,lime,1995,USA,Manufacture of tobacco products
,,lime,1995,USA,Manufacture of tobacco products
14.0,101.0,lime,1995,RoW Asia and Pacific,Cultivation of plant-based fibers
37.1756,126.382,lime,1995,South Korea,Manufacture of textiles
