source country,source sector,source sector group,color,target country,target sector,target sector group,amount,year
China,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,5855.1469328,1995
USA,Forestry,"Agriculture, forestry and fishing",lime,Japan,Manufacture of wood products,Manufacture and production,2426.80311935,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,Japan,Manufacture of wood products,Manufacture and production,2280.59925481,1995
USA,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,RoW Africa,Processing of food products,Manufacture and production,1615.17408784,1995
USA,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,RoW Africa,Chemicals,Manufacture and production,1407.68677212,1995
USA,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,RoW Africa,Cultivation of cereal grains,"Agriculture, forestry and fishing",1276.68301682,1995
Canada,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,1209.74039114,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,1154.54698345,1995
USA,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Japan,Processing vegetable oils and fats,Manufacture and production,879.251057545,1995
Taiwan,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,877.889762204,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,Processing of food products,Manufacture and production,868.809547872,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,Manufacture of beverages,Manufacture and production,868.598135469,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,South Korea,Manufacture of wood products,Manufacture and production,853.449766357,1995
USA,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,South Korea,Manufacture of textiles,Manufacture and production,675.157402561,1995
RoW America,Cultivation of wheat,"Agriculture, forestry and fishing",lime,Brazil,Processing of food products,Manufacture and production,612.152928919,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",606.0747503,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,601.779722866,1995
Canada,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Japan,Processing vegetable oils and fats,Manufacture and production,564.569459966,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,India,Processing of food products,Manufacture and production,561.357721102,1995
China,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,Manufacture of beverages,Manufacture and production,520.843121991,1995
RoW Asia and Pacific,Fishing,"Agriculture, forestry and fishing",lime,Japan,Manufacture of fish products,Manufacture and production,512.335633996,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,India,Processing vegetable oils and fats,Manufacture and production,511.662839411,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Hotels and restaurants,Utilities,452.151592221,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Real estate activities,Services,447.535180283,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,445.761366874,1995
USA,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,428.895457274,1995
USA,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,416.414079874,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,RoW Middle East,Chemicals,Manufacture and production,405.634339258,1995
Taiwan,Pigs farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,355.183000733,1995
China,Poultry farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,346.650269524,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",341.51846131,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Manufacture of tobacco products,Manufacture and production,338.400921227,1995
RoW Asia and Pacific,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,South Korea,Manufacture of textiles,Manufacture and production,333.242559762,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Real estate activities,Services,330.963474534,1995
France,Cattle farming,"Agriculture, forestry and fishing",lime,Italy,Processing of meat cattle,Manufacture and production,329.936588943,1995
Canada,Cultivation of wheat,"Agriculture, forestry and fishing",lime,Taiwan,Processing of food products,Manufacture and production,329.918872169,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,319.668230357,1995
France,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,United Kingdom,Processing of food products,Manufacture and production,300.785659374,1995
Canada,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,268.94154311,1995
France,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,Belgium,Processing of food products,Manufacture and production,253.940038864,1995
China,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",253.249896864,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Manufacture of tobacco products,Manufacture and production,250.166572343,1995
RoW Asia and Pacific,Fishing,"Agriculture, forestry and fishing",lime,Japan,Hotels and restaurants,Utilities,242.986591876,1995
USA,Forestry,"Agriculture, forestry and fishing",lime,Japan,Forestry,"Agriculture, forestry and fishing",241.852995039,1995
RoW America,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,Brazil,Manufacture of textiles,Manufacture and production,240.077933914,1995
USA,Cultivation of crops,"Agriculture, forestry and fishing",lime,Japan,Manufacture of wood products,Manufacture and production,237.527015024,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,South Korea,Manufacture of tobacco products,Manufacture and production,235.654971645,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Forestry,"Agriculture, forestry and fishing",233.993102293,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,China,Construction,Utilities,229.92627104,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,Japan,Forestry,"Agriculture, forestry and fishing",227.154447614,1995
Indonesia,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Belgium,Processing of food products,Manufacture and production,226.048735887,1995
China,Pigs farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,225.684248933,1995
RoW Europe,Cattle farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,219.603516136,1995
Germany,Cattle farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,218.350804832,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Japan,Hotels and restaurants,Utilities,214.289549985,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,South Korea,Processing of food products,Manufacture and production,214.270352802,1995
France,Cattle farming,"Agriculture, forestry and fishing",lime,Italy,Processing of food products,Manufacture and production,207.421085242,1995
USA,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,Italy,Manufacture of textiles,Manufacture and production,205.599729399,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,Processing of food products,Manufacture and production,202.264423345,1995
USA,Cultivation of crops,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,201.242149331,1995
